iter	Logloss
0	0.6877017932
1	0.6819317421
2	0.6757203006
3	0.6704487318
4	0.6647158848
5	0.6607631726
6	0.6551015618
7	0.6495411905
8	0.6448739727
9	0.639762707
10	0.6343830409
11	0.6289882017
12	0.6242239448
13	0.6190089537
14	0.6138457395
15	0.6091445751
16	0.6052997461
17	0.6015636573
18	0.5978866749
19	0.5940507182
20	0.5896534438
21	0.5854846654
22	0.5814856197
23	0.5786452561
24	0.5752560048
25	0.5711955381
26	0.5682178454
27	0.5644834711
28	0.5608103034
29	0.5581796625
30	0.5556813787
31	0.5529060792
32	0.5498815815
33	0.5465993988
34	0.5435131802
35	0.5406005088
36	0.5376446327
37	0.5356428168
38	0.5325427109
39	0.529421517
40	0.5263074382
41	0.5232936559
42	0.5208780524
43	0.5183645956
44	0.5161606006
45	0.5132516154
46	0.5104198242
47	0.5082258589
48	0.5062948934
49	0.5046863342
50	0.5028807394
51	0.5003905993
52	0.4981072672
53	0.4959538921
54	0.4948279563
55	0.4925192501
56	0.4901843982
57	0.4885557368
58	0.4865452627
59	0.4848612239
60	0.4832500072
61	0.4809693754
62	0.479492959
63	0.477659204
64	0.4755172729
65	0.4738010449
66	0.4716268818
67	0.4701757967
68	0.4686287012
69	0.4672217637
70	0.466064196
71	0.4644051027
72	0.4631813135
73	0.4621094264
74	0.4608986244
75	0.4596318449
76	0.4580018119
77	0.4566470371
78	0.4553030636
79	0.454447457
80	0.4528421981
81	0.4514215877
82	0.450341514
83	0.449362637
84	0.4482535459
85	0.4468337927
86	0.4456215333
87	0.4447968301
88	0.4438795454
89	0.4425434584
90	0.441307325
91	0.440337749
92	0.4393729735
93	0.4386557247
94	0.4376024825
95	0.4363363459
96	0.4354122462
97	0.4346162175
98	0.4336622431
99	0.4331198274
100	0.4321800832
101	0.4313779252
102	0.4303461996
103	0.4293689942
104	0.4285978253
105	0.4276164623
106	0.4267673707
107	0.4260667094
108	0.4255025199
109	0.4251726986
110	0.4246112952
111	0.4237966645
112	0.4228024001
113	0.4220724213
114	0.4212605766
115	0.4204757776
116	0.4194576392
117	0.4186051187
118	0.4182999857
119	0.4176985494
120	0.4169548978
121	0.4163907512
122	0.4155961797
123	0.4149552249
124	0.4144217673
125	0.4137432656
126	0.412823452
127	0.4120686135
128	0.4113825252
129	0.4107285403
130	0.4101133882
131	0.4094636896
132	0.4091242244
133	0.4085927385
134	0.4080210482
135	0.4072525796
136	0.406643171
137	0.4060929116
138	0.4055426951
139	0.4048937251
140	0.404636083
141	0.4041669181
142	0.4035171337
143	0.4033435864
144	0.4029576162
145	0.4024830079
146	0.4020344595
147	0.4017475857
148	0.4012903364
149	0.4006098201
150	0.4002555247
151	0.3999386477
152	0.3995474055
153	0.3992975214
154	0.3987409613
155	0.3981028353
156	0.3976862189
157	0.3972296983
158	0.3965470389
159	0.3964109099
160	0.3961503104
161	0.3957515674
162	0.3951635468
163	0.3947220277
164	0.3942911384
165	0.3936110936
166	0.3931773325
167	0.3926598195
168	0.3923333843
169	0.3919136819
170	0.3916365806
171	0.3910924504
172	0.3904828704
173	0.3900898708
174	0.3896972999
175	0.3894036111
176	0.388739768
177	0.3882074249
178	0.3878735317
179	0.3877059422
180	0.387091133
181	0.3867972728
182	0.3863599113
183	0.3858177099
