iter	Passed	Remaining
0	140	140073
1	143	71362
2	146	48551
3	148	37057
4	151	30205
5	153	25499
6	156	22267
7	159	19835
8	162	17936
9	165	16409
10	168	15173
11	171	14144
12	174	13266
13	177	12522
14	180	11857
15	183	11269
16	186	10756
17	189	10316
18	192	9915
19	194	9546
20	197	9223
21	200	8926
22	203	8658
23	206	8405
24	209	8170
25	212	7948
26	215	7752
27	217	7565
28	220	7391
29	223	7229
30	226	7079
31	229	6938
32	232	6808
33	235	6679
34	237	6560
35	240	6450
36	243	6346
37	246	6228
38	249	6135
39	252	6050
40	255	5967
41	257	5884
42	260	5805
43	263	5729
44	266	5653
45	269	5586
46	272	5521
47	275	5459
48	277	5394
49	281	5341
50	283	5283
51	286	5226
52	289	5172
53	292	5122
54	294	5051
55	296	5001
56	299	4956
57	302	4912
58	305	4868
59	308	4827
60	310	4785
61	313	4748
62	316	4703
63	318	4664
64	321	4630
65	324	4595
66	327	4560
67	330	4525
68	333	4495
69	335	4461
70	338	4424
71	341	4396
72	343	4366
73	346	4339
74	349	4312
75	352	4286
76	355	4260
77	358	4235
78	360	4207
79	363	4183
80	366	4159
81	369	4135
82	372	4110
83	374	4087
84	377	4065
85	380	4043
86	383	4023
87	386	4002
88	388	3977
89	391	3958
90	394	3939
91	397	3920
92	400	3902
93	403	3885
94	405	3867
95	408	3848
96	411	3827
97	414	3810
98	416	3794
99	419	3778
100	423	3767
101	425	3749
102	428	3733
103	431	3718
104	434	3705
105	437	3692
106	440	3680
107	443	3666
108	446	3651
109	448	3628
110	451	3614
111	453	3599
112	456	3586
113	459	3573
114	462	3562
115	465	3549
116	468	3538
117	471	3526
118	473	3506
119	476	3492
120	479	3481
121	482	3469
122	485	3459
123	488	3448
124	491	3437
125	494	3426
126	497	3417
127	499	3405
128	502	3395
129	505	3384
130	508	3373
131	511	3362
132	514	3352
133	517	3342
134	520	3332
135	523	3322
136	525	3312
137	528	3303
138	531	3294
139	534	3284
140	537	3272
141	540	3263
142	543	3254
143	544	3237
144	547	3226
145	550	3217
146	553	3209
147	555	3200
148	558	3191
149	561	3183
150	564	3174
151	567	3167
152	570	3159
153	573	3150
154	576	3143
155	579	3135
156	582	3127
157	585	3118
158	588	3110
159	590	3098
160	593	3090
161	596	3083
162	599	3076
163	602	3069
164	604	3060
165	607	3053
166	610	3046
167	613	3039
168	616	3032
169	619	3025
170	622	3018
171	625	3011
172	628	3004
173	631	2998
174	634	2991
175	637	2985
176	640	2979
177	643	2972
178	646	2965
179	648	2955
180	651	2948
181	654	2941
182	657	2935
183	660	2928
184	663	2921
185	665	2912
186	668	2904
187	671	2898
188	673	2891
189	676	2884
190	679	2877
191	682	2871
192	685	2865
193	688	2859
194	691	2852
195	694	2847
196	696	2841
197	699	2834
198	702	2829
199	705	2823
200	708	2816
201	711	2810
202	714	2804
203	715	2793
204	718	2786
205	721	2779
206	722	2769
207	725	2763
208	728	2757
209	731	2752
210	734	2747
211	737	2742
212	740	2736
213	743	2730
214	746	2725
215	749	2719
216	752	2714
217	754	2708
218	757	2703
219	760	2697
220	764	2693
221	766	2686
222	769	2681
223	772	2676
224	775	2671
225	778	2665
226	781	2659
227	783	2654
228	786	2648
229	789	2643
230	792	2638
231	795	2633
232	798	2628
233	801	2623
234	804	2618
235	806	2609
236	808	2603
237	811	2598
238	814	2593
239	817	2589
240	820	2584
241	823	2578
242	825	2570
243	827	2563
244	830	2558
245	833	2553
246	835	2548
247	838	2543
248	841	2538
249	844	2534
250	846	2526
251	849	2522
252	852	2517
253	855	2513
254	858	2508
255	861	2503
256	864	2498
257	867	2494
258	869	2488
259	872	2483
260	875	2479
261	878	2474
262	881	2470
263	884	2465
264	887	2460
265	890	2456
266	892	2448
267	894	2443
268	897	2438
269	900	2435
270	903	2430
271	906	2425
272	909	2421
273	911	2415
274	914	2410
275	917	2405
276	919	2401
277	922	2396
278	925	2392
279	928	2388
280	931	2384
281	934	2380
282	937	2375
283	940	2371
284	943	2366
285	946	2362
286	948	2355
287	950	2350
288	953	2345
289	956	2341
290	959	2337
291	963	2335
292	965	2330
293	968	2326
294	971	2322
295	974	2318
296	977	2313
297	980	2310
298	983	2305
299	986	2301
300	989	2297
301	992	2293
302	995	2289
303	998	2285
304	1000	2278
305	1002	2274
306	1005	2270
307	1008	2266
308	1011	2261
309	1014	2257
310	1017	2253
311	1020	2249
312	1022	2243
313	1024	2238
314	1027	2234
315	1030	2230
316	1033	2226
317	1035	2221
318	1038	2217
319	1041	2213
320	1044	2209
321	1047	2204
322	1048	2198
323	1051	2193
324	1054	2190
325	1057	2186
326	1060	2182
327	1063	2178
328	1066	2174
329	1069	2171
330	1072	2166
331	1075	2163
332	1078	2159
333	1081	2156
334	1084	2152
335	1087	2148
336	1090	2145
337	1093	2140
338	1096	2137
339	1099	2133
340	1101	2129
341	1104	2125
342	1107	2121
343	1110	2117
344	1113	2114
345	1116	2110
346	1119	2106
347	1122	2102
348	1125	2098
349	1127	2094
350	1130	2090
351	1132	2085
352	1135	2081
353	1138	2078
354	1141	2074
355	1144	2070
356	1147	2067
357	1150	2063
358	1153	2059
359	1156	2056
360	1159	2052
361	1162	2048
362	1165	2044
363	1168	2041
364	1171	2037
365	1174	2033
366	1177	2030
367	1179	2026
368	1182	2022
369	1185	2019
370	1188	2015
371	1191	2012
372	1194	2007
373	1196	2003
374	1199	1999
375	1202	1995
376	1205	1991
377	1207	1987
378	1210	1983
379	1213	1979
380	1215	1974
381	1217	1969
382	1220	1966
383	1223	1962
384	1226	1958
385	1229	1955
386	1232	1951
387	1234	1946
388	1237	1943
389	1239	1939
390	1242	1935
391	1245	1932
392	1248	1929
393	1251	1925
394	1254	1921
395	1257	1918
396	1260	1914
397	1263	1910
398	1266	1907
399	1268	1903
400	1271	1899
401	1274	1895
402	1276	1890
403	1279	1887
404	1282	1884
405	1285	1880
406	1288	1877
407	1291	1873
408	1294	1870
409	1297	1866
410	1299	1862
411	1302	1859
412	1305	1855
413	1308	1851
414	1310	1847
415	1313	1844
416	1315	1839
417	1318	1835
418	1321	1832
419	1324	1828
420	1326	1823
421	1328	1819
422	1336	1823
423	1339	1819
424	1341	1815
425	1345	1812
426	1347	1808
427	1349	1803
428	1352	1800
429	1355	1796
430	1357	1792
431	1360	1789
432	1363	1785
433	1366	1781
434	1369	1778
435	1371	1774
436	1375	1771
437	1378	1768
438	1381	1765
439	1384	1761
440	1387	1758
441	1389	1754
442	1392	1751
443	1394	1746
444	1397	1743
445	1400	1739
446	1403	1736
447	1406	1732
448	1409	1729
449	1411	1725
450	1414	1722
451	1417	1718
452	1420	1715
453	1423	1712
454	1426	1708
455	1429	1705
456	1432	1701
457	1434	1697
458	1437	1694
459	1440	1691
460	1443	1687
461	1445	1683
462	1448	1680
463	1451	1676
464	1454	1673
465	1457	1669
466	1460	1666
467	1463	1663
468	1465	1659
469	1467	1655
470	1470	1651
471	1471	1646
472	1473	1642
473	1476	1638
474	1479	1634
475	1482	1631
476	1484	1628
477	1486	1623
478	1489	1620
479	1492	1616
480	1495	1613
481	1498	1610
482	1501	1606
483	1504	1603
484	1506	1600
485	1509	1596
486	1512	1593
487	1514	1589
488	1517	1586
489	1520	1582
490	1523	1579
491	1526	1575
492	1528	1572
493	1531	1569
494	1534	1565
495	1537	1562
496	1540	1558
497	1543	1555
498	1545	1552
499	1548	1548
500	1551	1545
501	1554	1542
502	1557	1538
503	1560	1535
504	1563	1532
505	1566	1529
506	1569	1526
507	1572	1522
508	1574	1519
509	1577	1516
510	1580	1512
511	1582	1508
512	1585	1505
513	1588	1501
514	1591	1498
515	1594	1495
516	1597	1492
517	1600	1489
518	1603	1485
519	1606	1482
